Jumlah Kepala Keluarga (KK) Menurut Kelurahan di Kota Tangerang Selatan Tahun 2022;;
;;
Kecamatan;Kelurahan;Kepala Keluarga
Serpong;CIATER;8487
Serpong;RAWABUNTU;9028
Serpong;RAWAMEKAR JAYA;5784
Serpong;LENGKONG GUDANG;3855
Serpong;LENGKONG WETAN;3339
Serpong;BUARAN;6296
Serpong;LENGKONG GUDANG TIMUR;3963
Serpong;CILENGGANG;3382
Serpong;SERPONG;6736
Serpong Utara;PAKULONAN;4435
Serpong Utara;PAKUALAM;5134
Serpong Utara;PAKUJAYA;8446
Serpong Utara;PONDOK JAGUNG;6705
Serpong Utara;PONDOK JAGUNG TIMUR;5958
Serpong Utara;JELUPANG;10437
Serpong Utara;LENGKONG KARYA;2628
Pondok Aren;PONDOK BETUNG;11170
Pondok Aren;PONDOK PUCUNG;8667
Pondok Aren;PONDOK KARYA;8577
Pondok Aren;PONDOK JAYA;3355
Pondok Aren;PONDOK AREN;9702
Pondok Aren;PONDOK KACANG BARAT;7364
Pondok Aren;PONDOK KACANG TIMUR;11616
Pondok Aren;PARIGI;6652
Pondok Aren;PERIGI BARU;3990
Pondok Aren;JURANGMANGU BARAT;11763
Pondok Aren;JURANGMANGU TIMUR;9776
Ciputat;SAWAH BARU;9184
Ciputat;SERUA;12944
Ciputat;CIPUTAT;7951
Ciputat;SAWAH;10148
Ciputat;SERUA INDAH;6623
Ciputat;JOMBANG;13372
Ciputat;CIPAYUNG;8271
Ciputat Timur;CEMPAKA PUTIH;8415
Ciputat Timur;PONDOK RANJI;9424
Ciputat Timur;PISANGAN;11720
Ciputat Timur;CIREUNDEU;8331
Ciputat Timur;REMPOA;8805
Ciputat Timur;RENGAS;7880
Pamulang;PAMULANG BARAT;16936
Pamulang;BENDA BARU;13513
Pamulang;PONDOK BENDA;16602
Pamulang;PONDOK CABE UDIK;6859
Pamulang;PONDOK CABE ILIR;11436
Pamulang;KEDAUNG;16153
Pamulang;BAMBU APUS;8842
Pamulang;PAMULANG TIMUR;9984
Setu;MUNCUL;3363
Setu;SETU;4628
Setu;KERANGGAN;2722
Setu;KADEMANGAN;7261
Setu;BABAKAN;3845
Setu;BAKTI JAYA;5950
